rank,commodityCode,goodsDescription,countryOfOriginCode,countryOfOriginName,manufacturerName,exporterNameAndAddress,uomCode,uomDesc,packetSize,requestedAmount,requestedOtherInformation,assessedAmount,assessedOtherInformation,recommendedAmount,recommendedOtherInformation
29,3822000000,CEA Elecsys cobas e 200 [4491777190] ((cobas100%),,,,,TNE,Metric ton,,150,,150,,150,
30,3822000000,"CleanCell Elecsys,cobas e [11662970122] ((cobas100%)",,,,,TNE,Metric ton,,100,,100,,100,
31,3822000000,Cortisol CS Elecsys [11875124122] ((cobas100%),,,,,TNE,Metric ton,,100,,100,,100,
32,3822000000,Cortisol Elecsys cobas e 100 [11875116122] ((cobas100%),,,,,TNE,Metric ton,,200,,200,,200,
33,3822000000,free PSA CS Elecsys V2 [3289796190] ((cobas100%),,,,,TNE,Metric ton,,220,,220,,220,
34,3822000000,free PSA Elecsys cobas e 100 V2 [3289788190] (cobas100%),,,,,TNE,Metric ton,,190,,190,,190,
35,3822000000,FSH CS Elecsys V2 [3032680122] (cobas100%),,,,,TNE,Metric ton,,180,,180,,180,
36,3822000000,FSH Elecsys cobas e 100 [11775863122] ((cobas100%),,,,,TNE,Metric ton,,160,,160,,160,
37,3822000000,FT3 G3 cobas  e 200 (cobas100%),,,,,TNE,Metric ton,,100,,100,,100,
38,3822000000,FT3 G3 CS ELECSYS (cobas100%),,,,,TNE,Metric ton,,250,,250,,250,
39,3822000000,FT4 Elecsys cobas e 200(cobas100),,,,,TNE,Metric ton,,150,,150,,150,
40,3822000000,"HBeAg Elecsys cobas e 100 [11820583122] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,200,,200,,200,
41,3822000000,"HBeAg PC Elecsys [11876376122](1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,150,,150,,150,
42,3822000000,"HBsAg G2 Elecsys cobas e 100 [4687787190] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,100,,100,,100,
43,3822000000,"HBsAg G2 PC Elecsys [4687876190](1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,100,,100,,100,
44,3822000000,"HBsAg quant G2 Elecsys cobas e100[5957435190] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,200,,200,,200,
45,3822000000,"Hbsag Quant PC(1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,220,,220,,220,
46,3822000000,HIV combi PT Elecsys cobas e 100 [5390095190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,190,,190,,190,
47,3822000000,HIV PC Elecsys [5162645190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,180,,180,,180,
48,3822000000,LH Elecsys cobas e 100 [11732234122] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,160,,160,,160,
49,3822000000,LH G2 CS Elecsys [3561097190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,200,,200,,200,
50,3822000000,05401607190 CRP HS 100Tcobas c111  (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,100,,100,,100,
51,3822000000,a-Amylase 200T cobas c 111 [5401496190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,250,,250,,250,
52,3822000000,"Activator for cobas c,Integra,c111 [4663632190] (cobas100%)",,,,,TNE,Metric ton,,150,,150,,150,
53,3822000000,"ALB-T 200T cobas c111 [5401500190] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,200,,200,,200,
54,3822000000,Albumin BCG 400T Cobas c111 [4657357190](Citric acid monohydrate),,,,,TNE,Metric ton,,150,,150,,150,
55,3822000000,"ALP IFCC Gen.2, 200T, cobas c111 [4657373190] sodium hydroxide",,,,,TNE,Metric ton,,100,,100,,100,
56,3822000000,ALT 400T cobas c 111 [4718569190](cobas100%),,,,,TNE,Metric ton,,100,,100,,100,
57,3822000000,AST/GOT 400T cobas c 111 [4657543190](cobas100%),,,,,TNE,Metric ton,,200,,200,,200,
58,3822000000,"BIL-T Gen.3, 400Tests cobas c 111 [5795648190] Poly(oxy-1,2-ethanediyl), .alpha.-
(phenylmethyl)-.omega.-[(1,1,3,3-
tetramethylbutyl)phenoxy]-",,,,,TNE,Metric ton,,220,,220,,220,
59,3822000000,"CA, GEN.2, 400TESTS, COBAS C111 (cobas100%)",,,,,TNE,Metric ton,,190,,190,,190,
60,3822000000,Cholesterin 400T cobas c 111 [4718917190] (cobas100%),,,,,TNE,Metric ton,,180,,180,,180,
61,3822000000,CK 200T cobas c111 [5401593190] (cobas100%),,,,,TNE,Metric ton,,160,,160,,160,
62,3822000000,CK-MB 100T c111 [5401763190] (cobas100%),,,,,TNE,Metric ton,,100,,100,,100,
63,3822000000,Cleaner Basisch cobas c111 [4774248190] (cobas100%),,,,,TNE,Metric ton,,250,,250,,250,
64,3822000000,"CO2, 200T cobas c 111 [5455308190] (cobas100%)",,,,,TNE,Metric ton,,150,,150,,150,
65,3822000000,Creatinin Jaffe 400T c111 [5401755190] (cobas100%),,,,,TNE,Metric ton,,200,,200,,200,
66,3822000000,CRP LX 200T cobas c 111 [5401615190] (cobas100%),,,,,TNE,Metric ton,,150,,150,,150,
67,3822000000,GGT HICO 200T cobas c111 [5401461190] (cobas100%),,,,,TNE,Metric ton,,100,,100,,100,
68,3822000000,Glucose 400T cobas c 111 [4657527190]  (cobas100%),,,,,TNE,Metric ton,,100,,100,,100,
69,3822000000,HbA1c 200T cobas c111 [5401640190] (cobas100%),,,,,TNE,Metric ton,,200,,200,,200,
70,3822000000,Iron Gen2. 100T c111 [5401658190] (cobas100%),,,,,TNE,Metric ton,,220,,220,,220,
71,3822000000,ISE CALIB. IND./URINE cobas c 111 system [4838149001] (5-chloro-2-methyl-4-isothiazolin-3-one),,,,,TNE,Metric ton,,190,,190,,190,
72,3822000000,ISE CALIBRATION KIT cobas c 111 system [4838106001] (5-chloro-2-methyl-4-isothiazolin-3-one),,,,,TNE,Metric ton,,180,,180,,180,
73,3822000000,ISE CHLORID  ELEKTR. COBAS C111 SYSTEM  (5-chloro-2-methyl-4-isothiazolin-3-one),,,,,TNE,Metric ton,,160,,160,,160,
74,3822000000,ISE POTASSIUM ELECTR. cobas c 111 system [4834925001] (5-chloro-2-methyl-4-isothiazolin-3-one),,,,,TNE,Metric ton,,200,,200,,200,
75,3822000000,PreciControl Cardiac G2 Elecsys V4 [4917049190] (5-chloro-2-methyl-4-isothiazolin-3-one),,,,,TNE,Metric ton,,100,,100,,100,
76,3822000000,PreciControl Universal Elecsys V2 [11731416190] (5-chloro-2-methyl-4-isothiazolin-3-one),,,,,TNE,Metric ton,,250,,250,,250,
77,3822000000,"ProCell Elecsys,cobas e [11662988122] (5-chloro-2-methyl-4-isothiazolin-3-one)",,,,,TNE,Metric ton,,150,,150,,150,
78,3822000000,Progesterone G3 CS Elecsys (5-chloro-2-methyl-4-isothiazolin-3-one),,,,,TNE,Metric ton,,200,,200,,200,
79,3822000000,PROGESTERONE G3 ELECSYS COBAS E 100 (5-chloro-2-methyl-4-isothiazolin-3-one),,,,,TNE,Metric ton,,150,,150,,150,
80,3822000000,Prolactin G2 CS Elecsys [3277356190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,100,,100,,100,
81,3822000000,Prolactin G2 Elecsys cobas e 100 V2.1 [3203093190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,100,,100,,100,
82,3822000000,"Sys Wash Elecsys,cobas e [11930346122] (2-methyl-2H-isothiazol-3-one hydrochloride)",,,,,TNE,Metric ton,,200,,200,,200,
83,3822000000,T3 CS Elecsys [11731548122] (cobas100%),,,,,TNE,Metric ton,,220,,220,,220,
84,3822000000,T3 Elecsys cobas e 200 [11731360122] (cobas100%),,,,,TNE,Metric ton,,190,,190,,190,
85,3822000000,T4 CS Elecsys V2 [12017717122] (cobas100%),,,,,TNE,Metric ton,,180,,180,,180,
86,3822000000,T4 Elecsys cobas e 200 V2 [12017709122] (cobas100%),,,,,TNE,Metric ton,,160,,160,,160,
87,3822000000,Tacrolimus CS Elecsys [5889065190] (Edetic acid disodium salt dihydrate),,,,,TNE,Metric ton,,100,,100,,100,
88,3822000000,Tacrolimus Elecsys cobas e 100 [5889057190] (Edetic acid disodium salt dihydrate),,,,,TNE,Metric ton,,250,,250,,250,
89,3822000000,Testosterone G2 CS G2 Elecsys V2.1 [5202230190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,150,,150,,150,
90,3822000000,Testosterone G2 Elecsys cobas e 100 [5200067190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,200,,200,,200,
91,3822000000,Troponin I STAT CS Elecsys [5094801190]  (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,150,,150,,150,
92,3822000000,Troponin I STAT Elecsys cobas e 100 [5094798190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,100,,100,,100,
93,3822000000,Troponin PC Elecsys [5095107190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,100,,100,,100,
94,3822000000,Troponin T CS Elecsys V4 [4856627190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,200,,200,,200,
95,3822000000,Troponin T Elecsys cobas e 200 [4491815190] (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,220,,220,,220,
96,3822000000,"COBAS INTEGRA ISE ETCHER (AMMONIUM HYDROGEN, DIFLUORIDE)",,,,,TNE,,,100,,100,,100,
97,3822000000,D-DIMER CONTROL 1/11 (SODIUM AZIDE),,,,,TNE,,,50,,50,,50,
98,3822000000,"6PGDH from YEAST, LYOPHILIZADE (IYOPHILIZADE)",,,,,TNE,,,30,,30,,30,
99,3822000000,CFAS LIPIDS (SODIUM AZIDE),,,,,TNE,,,100,,100,,100,
100,3822000000,COBAS ISE DEPROTEINIZER (SODIUM HYPPOCHLORITE),,,,,TNE,,,50,,50,,50,
101,3822000000,"AMPLICOR HBV MONITOR (SODIUM HYDROXIDE, GUANIDINIUM THIOCYANATE, DIETHANOLAMINE)",,,,,TNE,,,30,,30,,30,
102,3822000000,CFAS HDL/LDL PLUS (SODIUM AZIDE),,,,,TNE,,,50,,50,,50,
103,3822000000,"HITERGENT for HITACHI SYSTEMS (NONIDET, HEXA-HYDRO-1,3,5TRIAZIN-TRIETHANOL, 2-AMINOETHANOL)",,,,,TNE,,,250,,250,,250,
104,3822000000,"DNA 3-END DLABELING KIT (POTASSIUM CACODYLATE, COBALT DICHLORIDE)",,,,,TNE,,,30,,30,,30,
105,3822000000,"AMPLICOR HCV MONITOR V 2.0 EC (GUANIDINIUMTHIOCYANATE SODIUM HYDROXIDE, PHENOL, SULPHURIC ACID)",,,,,TNE,,,30,,30,,30,
106,3822000000,"AMPLICOR CMV MONITOR SPEC, PR (GUANIDINIUM THIOCYANATE)",,,,,TNE,,,30,,30,,30,
107,3822000000,COBAS CLEANER 150 TEST (SODIUM HUDROXIE),,,,,TNE,,,100,,100,,100,
108,3822000000,MYOGLOBIN CONTROL CARDIAC (SODIUM AZIDE),,,,,TNE,,,200,,200,,200,
109,3822000000,CARDIAC CONTROL TROPONIN T (SODIUM AZIDE),,,,,TNE,,,100,,100,,100,
110,3822000000,"M -50D DILUENT (SODIUM SULPHATE, SODIUM CHLORIDE",,,,,TNE,,,100,,100,,100,
111,3822000000,"ANTI HAV ELECSYS, COBAS E (SODIUM AZIDE)",,,,,TNE,,,30,,30,,30,
112,3822000000,AMPLICOR CMV MONITOR (SODIUM AZIDE),,,,,TNE,,,20,,20,,20,
113,3822000000,"CALIBRATOR KIT EN 45,000 (SODIUM AZIDE)",,,,,TNE,,,150,,150,,150,
114,3822000000,COBAS BENZODIAZEPHINE 200 (SODIUM AZIDE),,,,,TNE,,,20,,20,,20,
115,3822000000,CA 19-9 ELECSYS (SODIUM AZIDE),,,,,TNE,,,20,,20,,20,
116,3822000000,"CA 125 GEN, 2 ELECSYS (SODIUM AZIDE)",,,,,TNE,,,20,,20,,20,
117,3822000000,ELECSYS AFP (SODIUM AZIDE),,,,,TNE,,,30,,30,,30,
118,3822000000,ELECSYS FT4 (SODIUM AZIDE),,,,,TNE,,,30,,30,,30,
119,3822000000,COBAS INTEGRA BARBITURATES 200,,,,,TNE,,,20,,20,,20,
120,3822000000,DIG DNA LABELLING AND DETECTION KIT (SODIUM AZIDE,,,,,TNE,,,10,,10,,10,
121,3822000000,T-UP TAKE CALIBRATOR (SODIUM AZIDE),,,,,TNE,,,30,,30,,30,
122,3822000000,"TRIGLYCERIDES, REAGENT TEST KIT",,,,,TNE,,,100,,100,,100,
123,3822000000,TG GPO-PAP SYS 1(POLIDOCANOL),,,,,TNE,,,100,,100,,100,
124,3822000000,"SNAPPAK, 9180, 9181 (SODIUM AZIDE)",,,,,TNE,,,250,,250,,250,
125,3822000000,CFAS CK-MB (1 MALIC ACID),,,,,TNE,,,20,,20,,20,
126,3822000000,DILUENT HEPATITIS A ELECSYS (N-METHYL ISOTHIAZOLONE HYDROCHLORIDE),,,,,TNE,,,20,,20,,20,
127,3822000000,ACCELERATOR (SODIUM AZIDE),,,,,TNE,,,40,,40,,40,
128,3822000000,DEPROTEINIZER ROCHE (SODIUM AZIDE),,,,,TNE,,,100,,100,,100,
129,3822000000,REFERENCE ELCTROLYTE (SODIUM AZIDE),,,,,TNE,,,50,,50,,50,
130,3822000000,"KIT CA WASH BUFFER (WASH BUFFER, SODIUM AZIDE)",,,,,TNE,,,50,,50,,50,
131,3822000000,CATRIDGE CL (SODIUM AZIDE),,,,,TNE,,,25,,25,,25,
132,3822000000,DATP (SODIUM AZIDE),,,,,TNE,,,15,,15,,15,
133,3822000000,CATRIDGE CA (SODIUM AZIDE),,,,,TNE,,,100,,100,,100,
134,3822000000,COBAS INTEGRA CARB (SODIUM AZIDE),,,,,TNE,,,20,,20,,20,
135,3822000000,COBAS HAEMOLYSE REAGENT (SODIUM AZIDE),,,,,TNE,,,30,,30,,30,
136,3822000000,FERRITIN - QUANT A. UNISYS (SODIUM AZIDE),,,,,TNE,,,10,,10,,10,
137,3822000000,CFAS PROTEIN (SODIUM AZIDE),,,,,TNE,,,1008,,1008,,1008,
138,3822000000,C02 STANDARD (SODIUM BICARBONATE),,,,,TNE,,,400,,400,,400,
139,3822000000,CFAS TPU F. INTEGRA 400 (SODIUM AZIDE),,,,,TNE,,,30,,30,,30,
140,3822000000,"HITACHI BICARBONATE R2 (D,P) (SODIUM AZIDE)",,,,,TNE,,,20,,20,,20,
141,3822000000,ALBUMIN FROM BOVINE SERUM,,,,,TNE,,,50,,50,,50,
142,3822000000,ISE SOLUTION (SODIUM AZIDE),,,,,TNE,,,100,,100,,100,
143,3822000000,CONTROL TEST M (SODIUM AZIDE),,,,,TNE,,,100,,100,,100,
144,3822000000,CATRIDGE K (SODIUM AZIDE),,,,,TNE,,,10,,10,,10,
145,3822000000,DILUENT 5 COBAS CORE (SODIM AZIDE),,,,,TNE,,,30,,30,,30,
146,3822000000,CALIBRATION STRIP URIC ACID (URIC ACID),,,,,TNE,,,20,,20,,20,
147,3822000000,DNA MW MARKER VII (SODIUM AZIDE),,,,,TNE,,,10,,10,,10,
148,3822000000,COAGUCHEK PLUS PT CATRIDGE 25 (SODIUM AZIDE),,,,,TNE,,,3000,,3000,,3000,
149,3822000000,"PROBE CLEANER, SODIUM HYDROCHLORIDE 17ML",,,,,TNE,,,3000,,3000,,3000,
150,3822000000,REFLOTRON CLEAN + CHECK (CONTROL) (Sodium Acetate),,,,,TNE,,,5000,,5000,,5000,
151,3822000000,REFLOTRON PRECINORM U (CONTROL) (Sodium benzoate),,,,,TNE,,,5000,,5000,,5000,
152,3822000000,PRECINORM HDL f. REFLOTRON (CONTROL) (Potassium Bisulphite),,,,,TNE,,,3000,,3000,,3000,
153,3822000000,PRECINORM U f. REFLOTRON (CONTROL) (Pychnogenol),,,,,TNE,,,5000,,5000,,5000,
154,3822000000,M 30D DILUENT (20L/TANK) (Cysteine),,,,,TNE,,,350,,350,,350,
155,3822000000,M-30 R RINSE (Methyl Paraben),,,,,TNE,,,250,,250,,250,
156,3822000000,M-30 CFL LYSE (Glutathione),,,,,TNE,,,250,,250,,250,
157,3822000000,"E-Z CLEANER, SODIUM HYDROCHLORIDE SOLUTIONS",,,,,TNE,,,2000,,2000,,2000,
158,3822000000,"PROBE CLEANER, SODIUM HYDROCHLORIDE SOLUTIONS",,,,,TNE,,,2000,,2000,,2000,
159,3822000000,M-18 D DILUENT (Sodium Sorbate),,,,,TNE,,,250,,250,,250,
160,3822000000,M-18 R RINSE (Nisin),,,,,TNE,,,250,,250,,250,
161,3822000000,M-18 R CFL LYSE (Polycosanol),,,,,TNE,,,250,,250,,250,
162,3822000000,M-50 LEO (1) LYSE (Sodium Diacetate),,,,,TNE,,,100,,100,,100,
163,3822000000,M-50 LEO (11) LYSE (Propyl Paraben),,,,,TNE,,,100,,100,,100,
164,3822000000,M-50 LH LYSE (Calcium Sorbate),,,,,TNE,,,100,,100,,100,
165,3822000000,M-50 LBA LYSE (Potassium Lactate),,,,,TNE,,,100,,100,,100,
166,3822000000,M30 PROBE CLEANSER (Potassium Benzoate),,,,,TNE,,,2000,,2000,,2000,
167,3822000000,M-50 CLEANSER (Sodium Lactate),,,,,TNE,,,2000,,2000,,2000,
168,3822000000,M-50 PROBE CLEANSER,,,,,TNE,,,500,,500,,500,
169,3822000000,KIT CAP/CTM HCV QUANT 72T v2.0 CE-IVD [5532264190],,,,,TNE,Metric ton,,2000,,2000,,2000,
170,3822000000,KIT CAP/CTM HCV v2.0 QUAL CE-IVD [5480477190],,,,,TNE,Metric ton,,2000,,2000,,2000,
171,3822000000,KIT CAP-G/CTM CMV 72 TESTS CE-IVD [04902068190],,,,,TNE,Metric ton,,1500,,1500,,1500,
172,3822000000,KIT CAP-G/CTM HBV V2.0 72TESTS CE-IVD [04894570190],,,,,TNE,Metric ton,,2000,,2000,,2000,
173,3822000000,KIT CAP-G/CTM HIV-1 QUAL 48T RUO [06693083190],,,,,TNE,Metric ton,,2000,,2000,,2000,
174,3822000000,KIT CAP-G/CTM HIV-1 V2.0 EXPT-IVD [05212294190],,,,,TNE,Metric ton,,2000,,2000,,2000,
175,3822000000,KIT CAP-G/CTM SPECIMEN PRE-EXTRACT RUO [06989861190],,,,,TNE,Metric ton,,2000,,2000,,2000,
176,3822000000,Kit CAP-G/CTM WASH RGT 5.1L IVD[06989861190],,,,,TNE,Metric ton,,2000,,2000,,2000,
177,3822000000,Total PSA Elecsys cobas e 100 v2.1 (Elecsys cobas 100%),,,,,TNE,Metric ton,,220,,220,,220,
178,3822000000,"TPUC Gen.3,  150Tests, cobas c, Integra (Edetic acid disodium salt dihydrate)",,,,,TNE,Metric ton,,190,,190,,190,
179,3822000000,Cartridge NA (SODIUM AZIDE),,,,,TNE,Metric ton,,180,,180,,180,
180,3822000000,Estradiol G2 Elecsys cobas e 100 v3 (Estradiol II 100%),,,,,TNE,Metric ton,,160,,160,,160,
181,3822000000,Free HCGbeta Elecsys cobas e 100 (Beads (MP)),,,,,TNE,Metric ton,,100,,100,,100,
182,3822000000,"ALTL,  500Tests, cobas c, Integra (cobas 100%)",,,,,TNE,Metric ton,,250,,250,,250,
183,3822000000,TSH Elecsys cobas e 200 (Elecsys 100%),,,,,TNE,Metric ton,,150,,150,,150,
184,3822000000,"IGA Gen.2, 150Tests, cobas c (cobas100%)",,,,,TNE,Metric ton,,200,,200,,200,
185,3822000000,"PHOS Gen.2,250Tests,cobas c,integra (cobas100%)",,,,,TNE,Metric ton,,150,,150,,150,
186,3822000000,"BIL-D Gen.2, 350Tests cobas c, Integra (cobas100%)",,,,,TNE,Metric ton,,100,,100,,100,
187,3822000000,"HDL-C Gen.3, 200Tests, cobas c, Integra (cobas100%)",,,,,TNE,Metric ton,,100,,100,,100,
188,3822000000,"UA Gen.2, 400Tests, cobas c, Integra (cobas100%)",,,,,TNE,Metric ton,,200,,200,,200,
189,3822000000,Cartridge K (SODIUM AZIDE),,,,,TNE,Metric ton,,220,,220,,220,
190,3822000000,"UREAL,  500Tests, cobas c, Integra (Integra 100%)",,,,,TNE,Metric ton,,190,,190,,190,
191,3822000000,Troponin T hs Elecsys cobas e 200 (Troponin 100%),,,,,TNE,Metric ton,,180,,180,,180,
192,3822000000,BM LACTATE CONTROL (5-chloro-2-methyl-4-isothiazolin-3-one [EC no. 247-500-7] and 2-methyl-2Hisothiazol-3-one),,,,,TNE,Metric ton,,160,,160,,160,
193,3822000000,BM LACTATE (5-chloro-2-methyl-4-isothiazolin-3-one [EC no. 247-500-7] and 2-methyl-2Hisothiazol-3-one),,,,,TNE,Metric ton,,200,,200,,200,
194,3822000000,Cartridge Li (SODIUM AZIDE),,,,,TNE,Metric ton,,150,,150,,150,
195,3822000000,"CREP Gen.2, 250Tests,cobas c integra (3-
(tris(hydroxymethyl)methylamino) propane-1-sulphonic acid",,,,,TNE,Metric ton,,150,,150,,150,
196,3822000000,Anti-TPO Elecsys cobas e 100 V3 (Beads (MP),,,,,TNE,Metric ton,,100,,100,,100,
197,3822000000,cobas PHENYTOIN/100 (sodium azide),,,,,TNE,Metric ton,,100,,100,,100,
198,3822000000,cobas PHENOBARB/100 (Polyacrylic acid),,,,,TNE,Metric ton,,200,,200,,200,
199,3822000000,Folate G3 Elecsys cobas e 100 (sodium hydroxide),,,,,TNE,Metric ton,,220,,220,,220,
200,3822000000,ACCUTREND GLUCOSE (5-chloro-2-methyl-4-isothiazolin-3-one [EC no. 247-500-7] and 2-methyl-2Hisothiazol-3-one),,,,,TNE,Metric ton,,190,,190,,190,
201,3822000000,"Folate G3 CS Elecsys (5-bromo-5-nitro-1,3-dioxane)",,,,,TNE,Metric ton,,180,,180,,180,
202,3822000000,"HDL-C Gen.3, 200Tests, cobas c, Integra (Integra 100%)",,,,,TNE,Metric ton,,160,,160,,160,
203,3822000000,"UA Gen.2, 400Tests, cobas c, Integra (Integra 100%)",,,,,TNE,Metric ton,,100,,100,,100,
204,3822000000,ACCUTREND CHOLESTEROL (5-chloro-2-methyl-4-isothiazolin-3-one [EC no. 247-500-7] and 2-methyl-2Hisothiazol-3-one),,,,,TNE,Metric ton,,250,,250,,250,
205,3822000000,C-Peptide Elecsys cobas e 100 (C-Peptide 100%),,,,,TNE,Metric ton,,150,,150,,150,
206,3822000000,"ACCUTREND TRIGLYCERIDE (5-chloro-2-methyl-4-
isothiazolin-3-one [EC no. 247-
500-7] and 2-methyl-2Hisothiazol-
3-one)",,,,,TNE,Metric ton,,200,,200,,200,
207,3822000000,Cartridge CL  (SODIUM AZIDE),,,,,TNE,Metric ton,,150,,150,,150,
208,3822000000,proBNP G2 Elecsys cobas e 100 (Beads (MP)),,,,,TNE,Metric ton,,100,,100,,100,
209,3822000000,ACCUTREND GLUCOSE CONTROL (5-chloro-2-methyl-4-isothiazolin-3-one [EC no. 247-500-7] and 2-methyl-2Hisothiazol-3-one),,,,,TNE,Metric ton,,100,,100,,100,
210,3822000000,S1 RINSE SOLUTION (Rinse 100%),,,,,TNE,Metric ton,,200,,200,,200,
